"sourceKey","slug","title","organizationName","type","location","state","remoteType","acceptedGradeLevels","availabilityStatus","deadline","officialSourceUrl","officialApplicationUrl","lastVerifiedAt","qualityScore","completenessScore"
"mount-sinai-queens:community-volunteer:rolling","mount-sinai-queens-community-volunteer","Community Volunteer Program","Mount Sinai Queens","VOLUNTEERING","Queens, New York","NY","IN_PERSON","HS_9|HS_10|HS_11|HS_12|COLLEGE_1|COLLEGE_2|COLLEGE_3|COLLEGE_4|GRADUATE","ROLLING","","https://www.mountsinai.org/locations/queens/about/volunteer","https://www.mountsinai.org/locations/queens/about/volunteer","2026-07-19","100","94"
"mount-sinai-morningside:unit-support-volunteer:rolling","mount-sinai-morningside-unit-support-volunteer","Unit Support Volunteer","Mount Sinai Morningside","VOLUNTEERING","Manhattan, New York","NY","IN_PERSON","HS_9|HS_10|HS_11|HS_12|COLLEGE_1|COLLEGE_2|COLLEGE_3|COLLEGE_4|GRADUATE","ROLLING","","https://www.mountsinai.org/locations/morningside/about/volunteer","https://www.mountsinai.org/locations/morningside/about/volunteer","2026-07-19","100","94"
"nyu-langone:campus-volunteer:rolling","nyu-langone-campus-volunteer","Campus Volunteer Program","NYU Langone Health","VOLUNTEERING","New York City and Long Island, New York","NY","IN_PERSON","HS_9|HS_10|HS_11|HS_12|COLLEGE_1|COLLEGE_2|COLLEGE_3|COLLEGE_4|GRADUATE","ROLLING","","https://nyulangone.org/volunteer","https://nyulangone.org/volunteer","2026-07-19","100","91"
"mount-sinai-south-nassau:junior-volunteer:rolling","mount-sinai-south-nassau-junior-volunteer","Junior Volunteer Program","Mount Sinai South Nassau","VOLUNTEERING","Oceanside, New York","NY","IN_PERSON","HS_9|HS_10|HS_11|HS_12","ROLLING","","https://www.mountsinai.org/locations/south-nassau/about/volunteer","https://www.mountsinai.org/locations/south-nassau/about/volunteer","2026-07-19","100","91"
"cedars-sinai:teen-volunteer:fall-2026","cedars-sinai-teen-volunteer-fall-2026","Teen Volunteer Program — Fall 2026","Cedars-Sinai","VOLUNTEERING","Los Angeles, California","CA","IN_PERSON","HS_9|HS_10|HS_11|HS_12","OPEN","","https://www.cedars-sinai.org/volunteer-services/high-school-students.html","https://www.cedars-sinai.org/volunteer-services/high-school-students.html","2026-07-19","91","89"
"ucla-health-westwood:general-student-volunteer:year-round","ucla-health-westwood-general-student-volunteer","General Student Volunteer Program","UCLA Health","VOLUNTEERING","Westwood, Los Angeles, California","CA","IN_PERSON","HS_10|HS_11|HS_12|COLLEGE_1|COLLEGE_2|COLLEGE_3|COLLEGE_4|GAP_YEAR_POST_BACC","ROLLING","","https://www.uclahealth.org/volunteer/westwood/student-programs","https://www.uclahealth.org/volunteer/westwood/student-programs","2026-07-19","100","94"
"ucla-health:care-extender:quarterly","ucla-health-care-extender","Care Extender Program","UCLA Health","VOLUNTEERING","Los Angeles, California","CA","IN_PERSON","COLLEGE_1|COLLEGE_2|COLLEGE_3|COLLEGE_4|GAP_YEAR_POST_BACC","ROLLING","","https://www.uclahealth.org/volunteer/care-extender","https://www.uclahealth.org/volunteer/care-extender","2026-07-19","100","94"
"penn-presbyterian:college-volunteer:rolling","penn-presbyterian-college-volunteer","College Volunteer Program","Penn Presbyterian Medical Center","VOLUNTEERING","Philadelphia, Pennsylvania","PA","IN_PERSON","COLLEGE_1|COLLEGE_2|COLLEGE_3|COLLEGE_4","OPEN","","https://www.pennmedicine.org/volunteering/penn-presbyterian-medical-center","https://www.pennmedicine.org/volunteering/penn-presbyterian-medical-center","2026-07-19","100","94"
"penn-princeton-health:college-volunteer:fall-2026","penn-princeton-health-college-volunteer-fall-2026","College Volunteer Program — Fall 2026","Penn Medicine Princeton Health","VOLUNTEERING","Plainsboro, New Jersey","NJ","IN_PERSON","COLLEGE_1|COLLEGE_2|COLLEGE_3|COLLEGE_4","OPENING_SOON","2026-10-01","https://www.pennmedicine.org/volunteering/princeton-health","https://www.pennmedicine.org/volunteering/princeton-health","2026-07-19","100","96"
"johns-hopkins-childrens:child-life-toy-cleaning:rolling","johns-hopkins-childrens-child-life-toy-cleaning-volunteer","Child Life Toy Cleaning Volunteer","Johns Hopkins Children's Center","VOLUNTEERING","Baltimore, Maryland","MD","IN_PERSON","COLLEGE_1|COLLEGE_2|COLLEGE_3|COLLEGE_4|GRADUATE|MEDICAL|GAP_YEAR_POST_BACC","OPEN","","https://www.hopkinsmedicine.org/johns-hopkins-childrens-center/patients-and-families/child-life/volunteer","https://www.hopkinsmedicine.org/johns-hopkins-childrens-center/patients-and-families/child-life/volunteer","2026-07-19","100","94"
"amedisys:hospice-volunteer:national-rolling","amedisys-hospice-volunteer","Hospice Volunteer","Amedisys","VOLUNTEERING","Multiple United States locations","","HYBRID","HS_10|HS_11|HS_12|COLLEGE_1|COLLEGE_2|COLLEGE_3|COLLEGE_4|GRADUATE|MEDICAL|GAP_YEAR_POST_BACC","ROLLING","","https://www.amedisys.com/services/hospice-care/services/volunteers","https://www.amedisys.com/services/hospice-care/services/volunteers","2026-07-19","100","94"
"accentcare:hospice-volunteer:national-rolling","accentcare-hospice-volunteer","Hospice Volunteer Program","AccentCare","VOLUNTEERING","Multiple United States locations","","HYBRID","","ROLLING","","https://www.accentcare.com/volunteer","https://www.accentcare.com/volunteer","2026-07-19","100","91"
"vitas:hospice-volunteer:national-rolling","vitas-hospice-volunteer","Hospice Volunteer","VITAS Healthcare","VOLUNTEERING","Multiple United States locations","","HYBRID","","ROLLING","","https://www.vitas.com/volunteer","https://www.vitas.com/volunteer/apply-to-be-a-hospice-volunteer","2026-07-19","100","91"
"compassus:hospice-volunteer:national-rolling","compassus-hospice-volunteer","Hospice Volunteer Opportunities","Compassus","VOLUNTEERING","Multiple United States locations","","HYBRID","","ROLLING","","https://www.compassus.com/volunteers/volunteers","https://www.compassus.com/volunteers/volunteers","2026-07-19","100","91"
"hhs-ocr:student-volunteer:2026","hhs-office-for-civil-rights-student-volunteer-2026","Office for Civil Rights Student Volunteer Internship","U.S. Department of Health and Human Services Office for Civil Rights","INTERNSHIP","Washington, District of Columbia; location negotiable after selection","DC","HYBRID","COLLEGE_1|COLLEGE_2|COLLEGE_3|COLLEGE_4|GRADUATE","OPEN","2026-12-31","https://www.hhs.gov/ocr/about-us/jobs-and-internships/index.html","https://www.hhs.gov/ocr/about-us/jobs-and-internships/index.html","2026-07-19","100","94"
"hhs-oig:student-volunteer-service:rolling","hhs-oig-student-volunteer-service","Student Volunteer Service Program","U.S. Department of Health and Human Services Office of Inspector General","INTERNSHIP","Headquarters and regional or field offices across the United States","","IN_PERSON","COLLEGE_1|COLLEGE_2|COLLEGE_3|COLLEGE_4|GRADUATE","ROLLING","","https://oig.hhs.gov/faqs/student-volunteer-service-program-faq","https://oig.hhs.gov/faqs/student-volunteer-service-program-faq","2026-07-19","100","94"
"nih-oite:summer-internship:2027","nih-summer-internship-program-2027","NIH Summer Internship Program — 2027","National Institutes of Health","RESEARCH","NIH campuses, including Bethesda, Maryland","MD","IN_PERSON","HS_12|COLLEGE_1|COLLEGE_2|COLLEGE_3|COLLEGE_4|GRADUATE|MEDICAL|GAP_YEAR_POST_BACC","OPENING_SOON","","https://www.training.nih.gov/research-training/pb/sip","https://www.training.nih.gov/research-training/pb/sip","2026-07-19","91","87"
"niams:summer-internship:2027","niams-summer-internship-program-2027","NIAMS Summer Internship Program — 2027","National Institute of Arthritis and Musculoskeletal and Skin Diseases","RESEARCH","Bethesda, Maryland","MD","IN_PERSON","COLLEGE_1|COLLEGE_2|COLLEGE_3|COLLEGE_4|GRADUATE|MEDICAL","OPENING_SOON","","https://www.niams.nih.gov/labs/career-development-outreach/student-research-training/summer-student-program","https://www.niams.nih.gov/labs/career-development-outreach/student-research-training/summer-student-program","2026-07-19","91","87"
